Reading_ID,Meter_ID,TS,Pressure,Flow,Energy,Unit,Customer_ID,"Latitude,Longitude",Leak_Flag,Maintenance_Flag,Notes_Comments,Base_Temp_C,Base_Pressure_kPa,Cal_Coefficient,Cal_Version
R9017, MET-143 ,2024-12-04 19:00,3.7,1662,6.41,scm/h,C739,"12.8638,80.1757",N,,,19.8,102.5,1.005,v1.0
R9018,MET-126,2025-03-24 04:00,3.75,618,2.47,SCMH,C750,"13.1641,80.1801",n,MAINT,Odorant alarm triggered. Cleared.,15.8,103.0,1.01,v1.2
R9019,MET103,2024-05-28 00:00,5.18,"1,465",5.67,Scmh,C706,"13.1428,80.3815",nO,,Email: user451@citygas.com flagged issue,18.7,99.5,1.0,v1.0
R9020,MET-147,2024-09-26 00:00,4.14,336,1.34,SCM/H,C726,"12.9747,80.2142",nO,MAINT,Calibration check passed.,25.9,101.325,0.995,v1.0
R9021,MET-113,2025-07-28 01:00,5.49,1602,6.16,S m^3/h,C839,"13.183,80.0522",nO,,"Leak near coords 13.1079,80.2956. Reported.",18.1,100.0,1.0,v1.1
R9022,MET-129,2024-10-18 18:00,4.8,745,2.86,scmh,C879 ,"13.087,80.4049",nO,,Customer called at +91-9880202-80202,20.3,100.0,1.0,v1.0
R9023,MET140,2024-04-09 10:00,4.55,4765,17.1,SCM/H,C808,"13.0261,80.0932",FALSE,SHUTDOWN,Maintenance done by technician ID T935.,24.2,100.0,0.99,v1.0
R9024,MET-145,2025-12-08 04:00,4.59,1191,4.31,sm^3/h,C895,"12.9535,80.413",FALSE,,Odorant alarm triggered. Cleared.,25.9,102.5,1.002,v1.0
R9025,MET-133,2025-08-05 15:00,6.24,2294,8.54,scm/h,C814,"22.0189,80.3543",FALSE,,,14.1,99.5,0.998,v1.0
R9026,MET-118,2025/04/03 13:00,3.94,2262,7.98,scm/h,C707,"13.0599,80.0796",false,,Email: user914@citygas.com flagged issue,17.8,101.325,1.0,v1.1
R9027,MET-150,2026-03-08 11:00,6.76,130,0.51,Scmh,C724,"12.9239,80.0808",false,,Inspection done. No issues.,19.3,99.5,1.002,v1.1
R9028,MET-139,2024-10-28 02:00,4.7,608,2.26,Scmh,c878,"13.1237,80.0602",True,,Read manually. Meter OK.,21.2,101.325,1.002,v1.0
R9029,met-137,2024-02-07 00:00,2.88,927,3.3,SCM/H,C894,"21.0493,80.2591",N,,Reverse flow detected briefly.,22.9,101.325,0.998,v1.2
R9030,MET-135,03/12/2024 02:00,,1483,5.35,Sm^3/h,C771,"(13.2363, 80.3584)",Y,,Read manually. Meter OK.,21.7,101.325,1.0,v1.1
R9031,MET145,2024-12-15 20:00,5.95,393,1.5,SCM/H,C895,"12.9535,80.413",No,,Read manually. Meter OK.,21.3,101.0,1.002,v1.0
R9032,MET-105,2024/11/27 13:00,2.96,667,-2.62,m3/h,c770,"12.9124,80.1624",No,SHUTDOWN,,25.5,101.325,0.995,v1.0
R9033,MET-132,2024-05-24 02:00,4.45,791,3.02,sm^3/h,C756,"12.9182,80.3353",NO,,Night flow anomaly recorded.,20.0,101.325,1.0,v1.1
R9034,MET-138,2025-01-01 10:00,3.95,,4.14,SCMH,C740,"12.8891,80.221",FALSE,,Customer called at +91-9841343-41343,23.7,101.325,1.0,v1.1
R9035, MET-117 ,2025-04-09 16:00,3.76,2491,9.6,sm^3/h,C708,"12.9717,80.3585",N,,Read manually. Meter OK.,18.1,100.0,1.0,v1.2
R9036,MET-151,2024-01-24 13:00,2.92,503,1.86,sm^3/h,C791,"13.2378,80.1659",nO,,Inspection done. No issues.,19.3,102.5,1.01,v1.0
R9037,MET-108,2024-09-19 22:00,3.92,2244,8.95,Sm^3/h,C735,"13.1965,80.3709",no,MAINT,Pressure drop observed at peak hours.,24.3,103.0,0.99,v1.0
R9038,MET-124,01-09-2024 23:00,3.86,1500,5.65,S m^3/h,C706,"12.9965,80.0754",N,,Email: user182@citygas.com flagged issue,22.1,100.0,1.005,v1.2
R9039,met-122,2024-09-08 17:00,68.4,567,2.26,Sm3/h,c829,"12.9058,80.2993",No,,Reverse flow detected briefly.,24.5,101.325,1.0,v1.0
R9040,Met-136,2025-07-22 05:00,5.23,1316,-4.75,Sm^3/h,C701,"13.17,80.25",FALSE,,"Leak near coords 12.881,80.1696. Reported.",25.5,101.0,0.99,v1.1
R9033,MET-114,2024-12-27 07:00,,1336,4.83,sm^3/h,c722,"12.9349,80.3762",NO,MAINT,Email: user984@citygas.com flagged issue,24.2,101.325,1.0,v1.0
R9041,met-117,2024-09-27T02:00:00Z,4.41,2280,8.22,Sm3/h,C708,"12.9717,80.3585",0,,Inspection done. No issues.,25.0,102.5,1.0,v1.1
R9035,MET-120,2025-07-03 13:00,,2099,7.92,S m^3/h,C755,"12.9665,80.0963",nO,MAINT,Contact: +91-7031141-31141 for followup,20.8,101.325,1.01,v1.0
R9042,MET-149,2025-01-02 23:00,5.09,5000,5.55,m3/h,C797," 13.0687 , 80.1415 ",0,,,19.9,101.325,1.0,v1.0
R9041,met-111,2025-03-26 07:00,4.35,1064,3.87,scmh,C873,"12.8582,80.3589",n,,Contact: +91-7027803-27803 for followup,18.5,103.0,1.0,v1.1
R9043, MET-127 ,2024-03-15 00:00,3.34,1531,5.84,Sm^3/h,c883,"12.9299,80.3418",FALSE,,,21.8,101.325,1.0,v1.0
R9044,MET-152,22-11-2024 17:00,5.69,686,2.59,Sm3/h,C788,"13.1601,80.1145",No,,Customer called at +91-9827583-27583,17.0,101.325,1.005,v1.1
R9045,MET-154,2025-10-20 18:00,6.91,549,2.05,SCM/H,C767,"13.2079,80.3732",no,,Read manually. Meter OK.,17.5,103.0,1.01,v1.0
R9046,MET-118,2024-01-04 12:00,3.77,1272,5.0,m3/h,C707,"13.0599,80.0796",FALSE,,Inspection done. No issues.,22.8,102.5,1.005,v1.0
R9047,MET-116,2026-02-19 16:00,4.22,1803,7.02,sm^3/h,C808," 12.9234 , 80.3416 ",TRUE,MAINT,Calibration check passed.,25.2,101.325,1.0,v1.0
R9048,MET-138,2025-03-29 06:00,6.41,1853,6.56,m3/h,C740,"12.8891,80.221",N,MAINT,High consumption flagged for audit.,24.8,101.325,1.0,v1.1
R9049,met-106,2025/03/24 14:00,6.34,1142,4.21,Sm^3/h,C762," 12.9124 , 80.2671 ",FALSE,,Inspection done. No issues.,15.6,101.0,1.005,v1.0
R9050,MET-141 ,2024-05-17T05:00:00Z,4.5,2503,9.92,SCMH,C787,"12.8988,80.0626",Y,,Night flow anomaly recorded.,18.1,100.0,1.0,v1.0
R9051,MET-125,2024-11-24 19:00,4.74,4827,17.2,Sm^3/h,C843,"13.0324,80.1744",0,,Pressure drop observed at peak hours.,24.8,102.5,1.0,v1.0
R9052,MET-138 ,2025-02-12 10:00,5.38,1787,6.88,Sm3/h,c740,"12.8891,80.221",0,MAINT,Maintenance done by technician ID T541.,17.0,102.5,1.0,v1.0
R9053,MET--126,2025-01-09 18:00,2.54,451,1.79,SCMH,C750,"13.1641,80.1801",0,,Night flow anomaly recorded.,18.9,101.325,1.01,v1.0
R9054,Met-142,2024-02-23 19:00,3.89,3661,12.83,m3/h,C771,"13.0481,80.3046",NO,,Email: user242@citygas.com flagged issue,17.2,99.5,1.01,v1.2
R9055,MET-154,2024/08/12 15:00,3.66,1036,4.14,SCM/H,C767,"13.2079,80.3732",False,,,21.0,102.5,1.002,v1.1
R9056,MET-124,2024-05-03 07:00,6.06,78,0.28,scm/h,C706,"12.9965,80.0754",False,,Odorant alarm triggered. Cleared.,25.2,101.325,0.99,v1.0
R9057,Met-136,2025-03-23 20:00,6.62,503,1.93,sm^3/h,C701,"13.1734,80.2475",FALSE,,Email: user996@citygas.com flagged issue,20.9,101.325,1.0,v1.1
R9058,MET-135,2024-07-04T05:00:00Z,4.25,3350,6.02,Sm3/h,c771,"13.2363,80.3584",n,,High consumption flagged for audit.,21.0,101.325,1.0,v1.1
R9059,MET-129,2025/08/30 03:00,6.78,1535,5.43,sm^3/h,CID-879,"(13.087, 80.4049)",n,SHUTDOWN,Customer C818 complained about billing.,15.5,100.0,1.0,v1.2
R9060,MET-141,2024-01-30 03:00,2.73,2782,10.06,SCMH,C787,"12.8988,80.0626",nO,MAINT,Pressure drop observed at peak hours.,22.5,101.325,1.005,v1.0
R9061,MET -118,2024-07-16 13:00,6.94,,8.19,SCMH,C707,"13.0599,80.0796",N,,,17.0,103.0,1.01,v1.1
R9062,MET-148,2024-03-27 18:00,4.64,3015,11.33,scmh,C723 ,"13.058,80.3522",n,,"Leak near coords 13.0698,80.2399. Reported.",18.5,101.325,1.0,v1.0
R9063,MET126,05-08-2025 00:00,5.59,4066,15.7,SCM/H,C750,"13.1641,80.1801",No,,,20.3,99.5,0.998,v1.0
R9064, MET-130 ,2025-11-21 05:00,5.22,253,0.99,SCM/H,C839,"12.8686,80.2389",n,,Odorant alarm triggered. Cleared.,15.4,101.325,1.005,v1.0
R9065,met-121,14-12-2024 00:00,4.18,362,1.39,S m^3/h,C759,"13.0947,80.3952",No,,Pressure drop observed at peak hours.,23.9,101.325,0.99,v1.1
R9066,MET-143,2024-06-15 21:00,4.35,1839,7.06,scm/h,C739,"12.8638,80.1757",N,,,19.6,101.325,1.01,v1.0
R9067,MET-136,2025-05-16 20:00,3.02,,2.35,Sm3/h,c701,"13.1734,80.2475",n,,Email: user557@citygas.com flagged issue,15.3,99.5,0.99,v1.1
R9068,met-149,2025-02-25 20:00,6.65,5000,10.21,SCM/H,C797,"13.0687,80.1415",nO,MAINT,Customer called at +91-9841440-41440,16.0,100.0,1.0,v1.1
R9069,MET-124,2025/03/01 11:00,0,1640,6.53,S m^3/h,C706,"12.9965,80.0754",N,,Pressure drop observed at peak hours.,24.2,101.0,0.99,v1.1
R9070,MET-149,2025/11/30 12:00,3.01,3571,,Sm3/h,C797,"13.0687,80.1415",nO,,Inspection done. No issues.,18.4,101.325,0.998,v1.1
R9071,MET-149,2024-12-14,3.8,1032,3.6,SCM/H,C797,"13.0687,80.1415",NO,,Calibration check passed.,23.3,101.325,1.002,v1.0
R9072,MET-102,2025-09-19 17:00,6.65,1332,5.05,m3/h,c728,"13.2303,80.1585",false,,High consumption flagged for audit.,23.9,101.325,1.0,v1.0
R9073,MET-116,2025/08/17 20:00,5.15,1123,3.96,m3/h,C808,"12.9234,80.3416",False,SHUTDOWN,Inspection done. No issues.,14.3,101.325,1.01,v1.0
R9074,MET-142,07/20/2024 15:00,3.56,1249,4.52,S m^3/h,C771,"13.0481,80.3046",NO,SHUTDOWN,Maintenance done by technician ID T658.,24.3,100.0,1.0,v1.0
R9075,Met-137,2025-03-17 06:00,63.9,1334,4.87,sm^3/h,c894,"12.9718,80.2591",FALSE,,Inspection done. No issues.,23.0,102.5,1.0,v1.2
R9076,MET-119,2024-04-14 18:00,5.4,1801,6.37,scm/h,C723,"13.0228,80.1934",false,,Odorant alarm triggered. Cleared.,25.9,99.5,1.0,v1.0
R9077, MET-110 ,2024-03-25 11:00,4.53,1710,6.77,SCMH,C726,"13.1332,80.4448",No,MAINT,Odorant alarm triggered. Cleared.,24.7,103.0,0.99,v1.1
R9078,met-125,2025-07-12 02:00,5.99,4947,17.39,S m^3/h,C843,"13.0324,80.1744",False,,High consumption flagged for audit.,18.9,103.0,1.005,v1.1
R9079,MET-138,12-07-2024 02:00,6.63,1320,5.27,SCMH,C740,"12.8891,80.221",false,,Customer called at +91-9841193-41193,24.4,101.0,1.0,v1.0
R9080, MET-148 ,2025-12-19 16:00,2.92,3518,13.21,Sm^3/h,C723,"13.058,80.3522",1,MAINT,Email: user377@citygas.com flagged issue,16.1,101.325,1.0,v1.0
R9081,MET-133 ,2026-01-06T23:00:00Z,6.26,2206,7.74,SCMH,C814,"12.876,80.3543",nO,,Odorant alarm triggered. Cleared.,16.4,101.325,0.995,v1.1
R9082,MET--124,2024-11-20 07:00,6.86,1300,4.73,S m^3/h,C706,"12.9965,80.0754",FALSE,,Read manually. Meter OK.,23.1,101.325,1.0,v1.0
R9083,MET--119,2025-06-05 09:00,4.76,907,3.62,Scmh,C723,"13.0228,80.1934",nO,MAINT,Email: user634@citygas.com flagged issue,20.7,101.0,1.0,v1.0
R9084,MET-149,2024-08-06 21:00,3.73,4255,15.17,SCM/H,C797,"13.0687,80.1415",no,MAINT,Email: user797@citygas.com flagged issue,25.7,102.5,1.0,v1.2
R9077,MET-102,2025-03-11T02:00:00Z,6.69,2977,,Sm^3/h,c728,"(13.2303, 80.1585)",NO,,Inspection done. No issues.,20.5,101.325,1.0,v1.0
R9085,MET110,2026-01-19,6.73,1296,-4.88,sm^3/h,C726,"13.1332,80.4448",0,MAINT,Contact: +91-7021741-21741 for followup,14.1,102.5,0.99,v1.2
R9086,MET-133,2026-02-24 03:00,0,638,-2.32,Scmh,C814,"12.876,80.3543",True,SHUTDOWN,High consumption flagged for audit.,23.0,101.325,0.995,v1.1
R9087,met-133,2026-01-26 14:00,2.59,1975,6.93,S m^3/h,C814,"12.876,80.3543",False,,Customer C884 complained about billing.,15.2,101.325,1.0,v1.0
R9088,MET-103,04/26/2025 00:00,4.96,2682,9.6,scmh,C706,"13.1428,80.3815",FALSE,MAINT,Contact: +91-7048973-48973 for followup,22.6,99.5,0.998,v1.0
R9089,met-113,2024-02-27 05:00,3.92,1320,4.961,m3/h,C839,"13.183,80.0522",n,,Maintenance done by technician ID T768.,20.8,99.5,0.998,v1.0
R9090,MET-128,2025-06-30 03:00,5.84,1882,7.51,Sm^3/h,C866,"13.0557,80.305",NO,,Reverse flow detected briefly.,24.8,103.0,0.99,v1.0
R9091,MET-112,2026-01-14T18:00:00Z,3.82,890,3.14,m3/h,C889,"13.238,80.1295",0,,Pressure drop observed at peak hours.,24.3,101.0,1.0,v1.0
R9092,MET141,2024-03-19 07:00,2.84,,-12.42,m3/h,C787,"12.8988,80.0626",NO,,Maintenance done by technician ID T718.,14.2,99.5,1.002,v1.0
R9093,MET -103,2024-07-28 11:00,5.56,1569,,SCMH,C706,"13.1428,80.3815",nO,,High consumption flagged for audit.,15.6,102.5,1.0,v1.0
R9094,MET-136,2024-06-09 18:00,3.68,583,2.25,sm^3/h,C701,"13.1734,80.2475",nO,,Read manually. Meter OK.,17.2,99.5,1.0,v1.0
R9095,MET-155,2025-03-12 08:00,5.51,182,0.69,Sm^3/h,C711,"13.0892,80.3034",0,MAINT,Inspection done. No issues.,14.3,99.5,0.99,v1.1
R9096,MET-116,2025/11/05 12:00,2.62,1184,4.49,SCM/H,C808,"12.9234,80.3416",n,,Reverse flow detected briefly.,14.1,101.325,0.995,v1.1
R9097,MET-105,2024-06-20 02:00,6.88,1365,4.81,SCM/H,C770,"12.9124,80.1624",n,,High consumption flagged for audit.,16.4,101.325,1.0,v1.1
R9098,MET-154,2024-06-18 12:00,4.83,672,2.4,Scmh,C767,"13.2079,80.3732",no,,Reverse flow detected briefly.,14.5,99.5,1.0,v1.1
R9099,MET-140,2025-12-29 09:00,2.92,1431,5.43,scmh,c808,"13.0261,80.0932",NO,,Pressure drop observed at peak hours.,24.2,101.0,1.0,v1.1
R9100,MET-150,2026-02-26 11:00,3.69,913,3.55,SCM/H,C724,"21.1636,80.0808",N,,Maintenance done by technician ID T167.,17.8,101.325,1.0,v1.0
R9101,MET-129,2025-07-21 11:00,4.68,885,3.24,m3/h,C879," 13.087 , 80.4049 ",False,,Maintenance done by technician ID T485.,22.4,101.325,1.0,v1.2
R9102,MET-129,2024-12-04 11:00,3.13,257,0.94,scm/h,C879,"13.087,80.4049",nO,MAINT,Reverse flow detected briefly.,16.4,100.0,0.99,v1.1
R9103,MET-133,29/09/2025,4.74,"1,313",4.92,sm^3/h,C814,"12.876,80.3543",false,,High consumption flagged for audit.,15.3,101.325,1.01,v1.0
R9103,MET-107,08/11/2025 08:00,3.1,-591,2.29,Scmh,C757,"12.8732,80.1064",False,,Odorant alarm triggered. Cleared.,21.0,101.325,0.995,v1.2
R9104,MET -144,2024-06-11T05:00:00Z,3.08,446,1.648,scmh,C755,"13.2137,80.2534",False,,Odorant alarm triggered. Cleared.,16.8,101.325,1.0,v1.0
R9105,MET-131,2025-12-10 01:00,4.56,1291,5.11,Scmh,C807,"13.093,80.0978",nO,,Read manually. Meter OK.,25.3,100.0,0.998,v1.0
R9106,MET-120,2025-10-10 09:00,6.17,,5.7,S m^3/h,C755,"12.9665,80.0963",false,,High consumption flagged for audit.,15.0,101.0,1.0,v1.0
R9107,MET-138,2026/03/10 24:05,3.27,2626,,m3/h,C740,"12.8891,80.221",false,MAINT,Email: user675@citygas.com flagged issue,20.8,101.0,1.0,v1.0
R9108,MET-114,2025-07-14 07:00,4.76,3913,15.44,SCMH,C722,"12.9349,80.3762",N,,"Leak near coords 12.9386,80.0922. Reported.",24.1,101.325,1.0,v1.0
R9109,MET-135,2025-04-28 17:00,5.54,2838,10.86,Sm3/h,C771,"13.2363,80.3584",nO,,Inspection done. No issues.,19.4,101.325,0.995,v1.0
R9110,MET-132,2025-03-08 20:00,4.66,1197,4.76,SCMH,C756,"12.9182,80.3353",0,,Contact: +91-7063824-63824 for followup,18.8,99.5,1.0,v1.1
R9111,MET-146,2024-04-17 21:00,4.06,955,3.66,S m^3/h,C786,"24.7357,80.1497",no,SHUTDOWN,Customer called at +91-9863777-63777,20.2,103.0,1.0,v1.0
R9109,MET-115,2024-11-13 21:00,2.74,1742,6.38,Sm3/h,C851,"12.9227,80.3327",NO,,Customer called at +91-9884774-84774,16.6,102.5,1.0,v1.0
R9112, MET-159 ,2024-05-02 03:00,5.44,1952,7.36,SCM/H,C731,12.8681,N,,Inspection done. No issues.,18.7,101.325,1.0,v1.0
R9113,MET-148,2025-01-30 05:00,6.45,125,0.46,sm^3/h,C723,"13.058,80.3522",False,,Night flow anomaly recorded.,23.9,100.0,1.0,v1.1
R9114,MET-122,2024-08-09 20:00,5.79,1377,4.99,SCM/H,C829,"23.5828,80.2993",False,SHUTDOWN,"Leak near coords 13.0668,80.358. Reported.",20.5,101.0,1.0,v1.1
R9115,MET-112,2024-07-10 23:00,4.65,,7.27,scm/h,C889 ," 13.238 , 80.1295 ",FALSE,MAINT,"Leak near coords 12.9315,80.1827. Reported.",14.7,101.325,1.01,v1.0
R9116,MET-120,2024-08-06 01:00,4.32,2108,8.37,sm^3/h,C755,"12.9665,80.0963",0,,"Leak near coords 13.0698,80.2399. Reported.",15.6,101.325,1.01,v1.0
R9117,MET-139,2025-05-25 02:00,4.37,1174,4.66,m3/h,c878,"13.1237,80.0602",no,MAINT,Customer called at +91-9860773-60773,24.7,101.325,1.005,v1.1
R9118,MET-104,2026-01-17 17:00,6.56,464,1.76,sm^3/h,C889,"13.0895,80.1927",False,,Pressure drop observed at peak hours.,19.1,101.325,1.0,v1.1
R9119,MET-133,2025-07-21 04:00,4.56,286,1.081,m3/h,C814,"12.876,80.3543",0,MAINT,Odorant alarm triggered. Cleared.,15.7,101.325,1.0,v1.0
R9120,MET-104,2024-04-04 05:00,6.94,1016,3.56,SCM/H,C889,"13.0895,80.1927",NO,SHUTDOWN,,21.3,101.325,1.002,v1.0
R9121,MET143,2026-01-06 07:00,3.1,1811,6.65,sm^3/h,C739,"12.8638,80.1757",n,,Email: user359@citygas.com flagged issue,21.2,101.325,1.01,v1.1
R9122,MET-135,01-06-2025 20:00,6.21,1063,3.96,scmh,C771,"23.6121,80.3584",no,,High consumption flagged for audit.,14.2,102.5,1.0,v1.1
R9123,MET-129,2024-03-07T11:00:00Z,3.6,231,0.85,S m^3/h,C879,"13.087,80.4049",no,MAINT,Email: user192@citygas.com flagged issue,24.2,101.325,0.99,v1.0
R9124,met-144,2025-03-13 19:00,3.57,636,2.55,SCM/H,C755,"13.2137,80.2534",false,,Customer C875 complained about billing.,23.8,99.5,1.01,v1.1
R9125,MET-123,2025-06-04 09:00,6.04,702,2.71,sm^3/h,C854,"12.9669,80.1824",0,SHUTDOWN,Read manually. Meter OK.,22.7,99.5,1.0,v1.1
R9126,MET-127,30-01-2026 21:00,4.88,1640,5.93,S m^3/h,C883,"12.9299,80.3418",No,,Contact: +91-7094511-94511 for followup,19.8,101.325,1.0,v1.0
R9127, MET-113 ,2026-02-02 00:00,3.48,905,3.57,S m^3/h,C839,"13.183,80.0522",N,,Reverse flow detected briefly.,24.5,103.0,1.005,v1.1
R9128,MET -116,2026-01-23 18:00,3.95,629,2.32,m3/h,C808,"12.9234,80.3416",False,,,20.5,101.325,1.01,v1.0
R9129,MET-127,2024-03-03 10:00,5.03,956,3.71,scm/h,C883,"12.9299,80.3418",y,,Reverse flow detected briefly.,17.7,102.5,1.01,v1.1
R9130,MET-144,2025-04-05 21:00,3.66,2051,8.19,Scmh,C755,"13.2137,80.2534",FALSE,,Night flow anomaly recorded.,25.0,101.325,1.002,v1.0
R9131,MET-134,2024-02-16,6.28,,2.62,m3/h,C850 ,"13.2296,80.2745",N,,Night flow anomaly recorded.,21.1,100.0,0.995,v1.0
R9127,MET-160,2025-10-21 17:00,5.47,82,0.29,SCMH,CID-796," 12.9801 , 80.2657 ",N,,Night flow anomaly recorded.,23.0,100.0,0.995,v1.0
R9132,MET-110,2024-11-25 00:00,3.36,1128,4.08,Sm^3/h,C726,"13.1332,80.4448",false,,Odorant alarm triggered. Cleared.,14.2,103.0,1.0,v1.1
R9133,met-149,2024-02-13 06:00,2.92,3156,11.63,Sm^3/h,C797,"13.0687,80.1415",N,,Inspection done. No issues.,18.2,101.325,1.0,v1.0
R9134,MET-115,2024-10-15 15:00,6.56,2885,11.41,m3/h,c851,"12.92,80.33",N,SHUTDOWN,Email: user658@citygas.com flagged issue,20.6,101.325,1.0,v1.0
R9135,MET-110,2025-06-27 19:00,6.68,662,2.37,Sm^3/h,C726,"13.1332,80.4448",false,,Reverse flow detected briefly.,21.8,101.325,1.0,v1.0
R9136,MET-104,2024-05-13 08:00,,1767,6.23,sm^3/h,C889,"13.0895,80.1927",nO,MAINT,Calibration check passed.,17.1,101.0,1.005,v1.1
R9137,MET--125,2025/08/12 14:00,3.34,4849,18.59,SCMH,C843,"13.0324,80.1744",nO,,Customer called at +91-9837314-37314,25.7,101.0,0.99,v1.0
R9138, MET-107 ,2024-05-04 22:00,2.52,681,,m3/h,C757,"12.8732,80.1064",No,MAINT,Pressure drop observed at peak hours.,24.7,101.325,1.002,v1.1
R9139,MET-151,2025-03-18 22:00,6.39,75,0.27,SCMH,C791,"13.2378,80.1659",No,,Read manually. Meter OK.,25.4,101.325,1.002,v1.1
R9140,MET-132,2024-07-18 05:00,2.78,940,3.41,SCMH,C756,"12.9182,80.3353",No,,Customer C768 complained about billing.,23.4,101.325,0.99,v1.0
R9141,met-122,2025-06-02 16:00,6.12,724,2.69,m3/h,C829,"12.9058,80.2993",nO,,Email: user188@citygas.com flagged issue,17.1,103.0,1.0,v1.0
R9142,MET-132,02/25/2026 06:00,6.02,717,2.64,scmh,C756,"12.9182,80.3353",false,MAINT,Maintenance done by technician ID T717.,23.3,103.0,1.0,v1.2
R9143,MET146,2024-10-13 05:00,4.47,646,2.54,SCM/H,c786,"13.115,80.1497",true,,Contact: +91-7026849-26849 for followup,16.7,101.325,1.0,v1.1
R9144,MET-131,2026-03-05 22:00,4.3,1087,4.32,Sm^3/h,CID-807,"13.093,80.0978",false,,Contact: +91-7084669-84669 for followup,15.2,101.325,1.0,v1.1
R9145,met-143,2025-04-29 16:00,3.25,2213,4.58,Scmh,C739,"12.8638,80.1757",false,,Inspection done. No issues.,16.1,103.0,1.0,v1.0
R9146,MET-115,2025-08-31 15:00,4.18,1946,7.58,SCMH,C851,"12.9227,80.3327",n,,Email: user726@citygas.com flagged issue,21.7,99.5,1.0,v1.0
R9147,Met-151,2024-10-09 10:00,4.85,763,2.85,SCMH,C791,"13.2378,80.1659",FALSE,,Inspection done. No issues.,25.5,99.5,0.995,v1.1
R9148,MET-134,08/26/2024 04:00,4.98,2761,10.44,scm/h,C850,"13.2296,80.2745",no,,Customer called at +91-9833267-33267,23.4,101.0,1.0,v1.1
R9149,MET-101,2024-10-20 06:00,3.43,1200,5.83,sm^3/h,C863,"12.9998,80.2055",Yes,SHUTDOWN,Odorant alarm triggered. Cleared.,16.0,99.5,1.0,v1.2
R9150,MET-139,2025-06-14 14:00,5.25,1252,4.44,SCMH,C878,"13.1237,80.0602",FALSE,,High consumption flagged for audit.,19.9,101.325,1.005,v1.0
R9151,MET-108,2024-09-06 22:00,4.18,629,2.36,SCMH,C735,"13.1965,80.3709",NO,,"Leak near coords 12.8687,80.114. Reported.",25.3,101.325,0.99,v1.1
R9152, MET-109 ,2024-09-12 10:00,3.92,973,3.71,sm^3/h,C888,"13.0904,80.0798",N,,Maintenance done by technician ID T984.,22.5,101.0,1.002,v1.1
R9153,MET-132,2024-08-16T08:00:00Z,2.87,113,0.44,Scmh,C756,"12.9182,80.3353",N,,Reverse flow detected briefly.,17.3,103.0,1.0,v1.0
