Reading_ID,Meter_ID,TS,Pressure,Flow,Energy,Unit,Customer_ID,Leak_Flag,Maintenance_Flag,Notes_Comments,Base_Temp_C,Base_Pressure_kPa,Cal_Coefficient,Cal_Version,Latitude,Longitude,Flow_Outlier,Pressure_Outlier,Customer_Type,Join_Date,Is_Active,NTP_Offset_Sec,Asset_Valid,Negative_Flow,Negative_Energy,Direction_Flag,Flow_calibrated,Energy_calibrated,Is_Billable,Flow_std,Flow_same,Pressure_same,Energy_same,Sensor_Stuck,Sensor_Reliable,Meter_Capacity_SCMH,Capacity_Exceeded,Reading_Plausible,Pressure_Direction_Flag,Pressure_Imputed,DMA_Zone,Cal_Verified,Pressure_Violation,Month,Hour,Date,Season,Zone,CustomerType_Code,Season_Code,Zone_Code,Hour_bucket,Pressure_Drop,Flow_Change,Pressure_Drop_Flag,Leak_Alarm,Flow_Anomaly_Int,Leak_Propensity_Score,High_Leak_Risk,Energy_MMBtu,Peak_Window,Read_Success,Estimated_Read,Night_Flow_Anomaly,Reverse_Flow_Flag,Flow_Anomaly_Flag,outage_flag,prev_flag,event_type,Outage_Type,AMI_Reading,Billed_Reading,Billing_Gap,Billing_Discrepancy,Flow_Predicted,Segment,Pipe_Material,Time_Since_Last_Read_Hr,Read_SLA_Breach,Repair_SLA_Breach,CO2_kg,CO2_Tonnes
R13148,MET-101,2024-03-02 21:00:00,5.57,571.0,2.22,SCMH,C863,No,NORMAL,Odorant alarm triggered. Cleared.,21.4,101.325,0.998,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,569.858,2.216,True,557.476,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,3,21,2024-03-02,Summer,Zone_B,2,1,1,2024-03-02 21:00:00,2.0700000000000003,505.85799999999995,False,0,0,0.0,False,20.5246,False,True,False,False,False,False,0,1.0,OUTAGE_END,Unknown,2.216,2.107,0.109,False,602.41,Low_Consumption,MDPE,114.99166666666666,True,False,1089.241,1.089241
R11357,MET-101,2024-03-08 17:55:00,5.46,1225.0,4.43,SCMH,C863,Unknown,NORMAL,Contact: [MISC. PHONE REDACTED] for followup,21.2,101.325,1.002,v1.2,12.9998,80.2055,False,False,industrial,2024-01-01,False,-300,True,False,False,Forward,1227.45,4.439,True,1201.596,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,3,17,2024-03-08,Summer,Zone_B,2,1,1,2024-03-08 17:00:00,-0.11000000000000032,657.5920000000001,False,0,0,0.0,False,44.2091,False,True,False,False,False,False,0,0.0,,Unknown,4.439,4.432,0.007,False,1208.28,Low_Consumption,MDPE,140.91666666666666,True,False,2346.177,2.346177
R9609,MET-101,2024-03-12 16:01:00,3.67,138.0,0.49,SCMH,C863,Unknown,SHUTDOWN,Pressure drop observed at peak hours.,18.3,101.325,1.0,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,60,True,False,False,Forward,138.0,0.49,False,136.437,False,False,False,False,True,500,False,True,Forward,False,DMA-A,False,False,3,16,2024-03-12,Summer,Zone_B,2,1,1,2024-03-12 16:00:00,-1.79,-1089.45,True,0,0,0.5,True,4.9704,False,False,True,False,False,False,1,0.0,OUTAGE_START,Scheduled Maintenance,0.49,0.486,0.004,False,135.21,Low_Consumption,MDPE,94.1,True,True,263.779,0.263779
R13306,MET-101,2024-03-12 19:00:00,5.47,138.0,3.06,SCMH,C863,No,MAINTENANCE,Contact: [MISC. PHONE REDACTED] for followup,22.5,101.325,0.995,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,137.31,3.045,False,133.827,True,False,False,False,True,500,False,True,Forward,False,DMA-A,True,False,3,19,2024-03-12,Summer,Zone_B,2,1,1,2024-03-12 19:00:00,1.7999999999999998,-0.6899999999999977,False,0,0,0.0,False,4.9455,False,False,True,False,False,False,1,1.0,,Scheduled Maintenance,3.045,2.925,0.12,False,589.34,Low_Consumption,MDPE,2.9833333333333334,True,False,262.458,0.262458
R9460,MET-101,2024-03-23 00:00:00,6.7,1037.0,3.77,SCMH,C863,No,MAINTENANCE,Reverse flow detected briefly.,16.0,101.325,0.995,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1031.815,3.751,False,1028.247,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,3,0,2024-03-23,Summer,Zone_B,2,1,1,2024-03-23 00:00:00,1.2300000000000004,894.5050000000001,False,0,0,0.0,False,37.1629,False,False,True,True,False,True,1,1.0,,Scheduled Maintenance,3.751,3.598,0.153,False,1032.14,Low_Consumption,MDPE,245.0,True,True,1972.235,1.972235
R15011,MET-101,2024-03-27 05:00:00,3.46,1450.0,5.75,SCMH,C863,No,NORMAL,Reverse flow detected briefly.,18.4,101.0,1.0,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1450.0,5.75,True,1428.494,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,3,5,2024-03-27,Summer,Zone_B,2,1,1,2024-03-27 05:00:00,-3.24,418.18499999999995,True,0,0,0.5,True,52.2247,False,True,False,True,False,True,1,1.0,,Pressure Drop,5.75,5.515,0.235,False,1594.29,Low_Consumption,MDPE,101.0,True,False,2771.565,2.771565
R9369,MET-101,2024-04-06 12:00:00,4.23,1464.0,5.36,SCMH,C863,Yes,NORMAL,Customer called at [MISC. PHONE REDACTED],21.5,102.5,1.0,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1464.0,5.36,True,1448.307,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,4,12,2024-04-06,Summer,Zone_B,2,1,1,2024-04-06 12:00:00,0.7700000000000005,14.0,False,1,0,0.2,False,52.729,False,True,False,False,False,False,1,1.0,,Leak Shutdown,5.36,5.174,0.186,False,1415.68,Low_Consumption,MDPE,247.0,True,False,2798.328,2.798328
R14932,MET-101,2024-04-19 13:00:00,4.7,162.0,0.61,SCMH,C863,No,NORMAL,Maintenance done by technician ID [TECH-ID REDACTED].,16.5,101.325,1.0,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,162.0,0.61,True,161.161,False,False,False,False,True,500,False,True,Forward,False,DMA-A,False,False,4,13,2024-04-19,Summer,Zone_B,2,1,1,2024-04-19 13:00:00,0.46999999999999975,-1302.0,False,0,0,0.0,False,5.8348,False,True,False,False,False,False,1,1.0,,Pressure Drop,0.61,0.596,0.014,False,161.78,Low_Consumption,MDPE,313.0,True,False,309.653,0.309653
R11306,MET-101,2024-05-25 20:00:00,4.64,509.0,1.96,SCMH,C863,No,MAINTENANCE,Odorant alarm triggered. Cleared.,18.1,101.325,1.002,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,510.018,1.964,False,504.589,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,5,20,2024-05-25,Summer,Zone_B,2,1,1,2024-05-25 20:00:00,-0.0600000000000005,348.018,False,0,0,0.0,False,18.3693,False,False,True,False,False,False,1,1.0,,Scheduled Maintenance,1.964,1.908,0.056,False,532.45,Low_Consumption,MDPE,871.0,True,True,974.859,0.974859
R11227,MET-101,2024-05-31 00:00:00,4.7,467.0,1.96,SCMH,C863,Unknown,NORMAL,Contact: [MISC. PHONE REDACTED] for followup,20.9,99.5,0.998,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,466.066,1.956,True,448.489,False,False,True,False,True,500,False,True,Forward,False,DMA-A,True,False,5,0,2024-05-31,Summer,Zone_B,2,1,1,2024-05-31 00:00:00,0.0600000000000005,-43.952,False,0,0,0.0,False,16.7863,False,True,False,True,False,True,1,1.0,,Pressure Drop,1.956,1.887,0.069,False,570.81,Low_Consumption,MDPE,124.0,True,False,890.849,0.890849
R9766,MET-101,2024-06-09 03:00:00,4.84,1123.0,3.98,SCMH,C863,No,NORMAL,,15.9,101.325,1.0,v1.2,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1123.0,3.98,True,1119.503,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,6,3,2024-06-09,Monsoon,Zone_B,2,2,1,2024-06-09 03:00:00,0.13999999999999968,656.934,False,0,0,0.0,False,40.4471,False,True,False,True,False,True,1,1.0,,Pressure Drop,3.98,3.903,0.077,False,1057.34,Low_Consumption,MDPE,219.0,True,False,2146.528,2.146528
R11046,MET-101,2024-06-20 04:00:00,3.16,565.0,2.09,SCMH,C863,No,SHUTDOWN,Email: [EMAIL REDACTED] flagged issue,20.4,99.5,1.0,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,565.0,2.09,False,544.617,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,6,4,2024-06-20,Monsoon,Zone_B,2,2,1,2024-06-20 04:00:00,-1.6799999999999997,-558.0,True,0,0,0.5,True,20.3496,False,False,True,True,False,True,1,1.0,,Scheduled Maintenance,2.09,2.0,0.09,False,558.21,Low_Consumption,MDPE,265.0,True,True,1079.953,1.079953
R9852,MET-101,2024-06-24 06:00:00,5.17,1432.0,5.58,SCMH,C863,No,NORMAL,Night flow anomaly recorded.,22.7,101.325,1.0,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1432.0,5.58,True,1394.73,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,6,6,2024-06-24,Monsoon,Zone_B,2,2,1,2024-06-24 06:00:00,2.01,867.0,False,0,0,0.0,False,51.5764,False,True,False,False,False,False,0,1.0,OUTAGE_END,Unknown,5.58,5.383,0.197,False,1436.81,Low_Consumption,MDPE,98.0,True,False,2737.16,2.73716
R11740,MET-101,2024-07-03 21:00:00,6.88,756.0,2.683,SCMH,C863,No,NORMAL,Calibration check passed.,22.5,103.0,0.998,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,754.488,2.678,True,747.504,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,7,21,2024-07-03,Monsoon,Zone_B,2,2,1,2024-07-03 21:00:00,1.71,-677.512,False,0,0,0.0,False,27.1744,False,True,False,False,False,False,0,0.0,,Unknown,2.678,2.593,0.085,False,710.5,Low_Consumption,MDPE,231.0,True,False,1442.145,1.442145
R13309,MET-101,2024-07-11 00:00:00,3.99,1396.0,5.33,SCMH,C863,Unknown,NORMAL,Reverse flow detected briefly.,15.3,101.325,1.0,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1396.0,5.33,True,1394.548,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,7,0,2024-07-11,Monsoon,Zone_B,2,2,1,2024-07-11 00:00:00,-2.8899999999999997,641.512,True,0,0,0.5,True,50.2798,False,True,False,True,False,True,1,0.0,OUTAGE_START,Pressure Drop,5.33,5.185,0.145,False,1404.33,Low_Consumption,MDPE,171.0,True,False,2668.349,2.668349
R10669,MET-101,2024-07-12 05:59:30,6.39,1285.0,4.64,SCMH,C863,No,NORMAL,Inspection done. No issues.,15.5,101.325,1.005,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,-30,True,False,False,Forward,1291.425,4.663,True,1289.188,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,7,5,2024-07-12,Monsoon,Zone_B,2,2,1,2024-07-12 05:00:00,2.3999999999999995,-104.57500000000005,False,0,0,0.0,False,46.5133,False,True,False,True,False,True,0,1.0,OUTAGE_END,Unknown,4.663,4.613,0.05,False,1269.39,Low_Consumption,MDPE,29.991666666666667,True,False,2468.461,2.468461
R14416,MET-101,2024-08-18 23:00:00,5.91,215.0,0.76,SCMH,C863,No,NORMAL,Inspection done. No issues.,19.5,99.5,0.99,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,212.85,0.752,True,205.802,False,False,False,False,True,500,False,True,Forward,False,DMA-A,True,False,8,23,2024-08-18,Monsoon,Zone_B,2,2,1,2024-08-18 23:00:00,-0.47999999999999954,-1078.575,True,0,0,0.5,True,7.6662,False,True,False,False,False,False,0,0.0,,Unknown,0.752,0.722,0.03,False,258.49,Low_Consumption,MDPE,905.0083333333333,True,False,406.845,0.406845
R15067,MET-101,2024-08-27 21:00:00,2.6,663.0,2.42,SCMH,C863,No,NORMAL,Email: [EMAIL REDACTED] flagged issue,21.6,101.0,0.995,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,659.685,2.408,True,642.845,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,8,21,2024-08-27,Monsoon,Zone_B,2,2,1,2024-08-27 21:00:00,-3.31,446.8349999999999,True,0,0,0.5,True,23.7599,False,True,False,False,False,False,1,0.0,OUTAGE_START,Pressure Drop,2.408,2.35,0.058,False,669.13,Low_Consumption,MDPE,214.0,True,False,1260.938,1.260938
R15146,MET-101,2024-08-29 01:00:00,4.3,1112.0,2.42,SCMH,C863,Unknown,NORMAL,Customer C883 complained about billing.,23.6,101.325,1.0,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1112.0,2.42,True,1079.774,False,False,True,False,True,500,True,False,Forward,False,DMA-A,False,False,8,1,2024-08-29,Monsoon,Zone_B,2,2,1,2024-08-29 01:00:00,1.6999999999999997,452.31500000000005,False,0,0,0.0,False,40.051,False,True,False,True,False,True,1,1.0,,Pressure Drop,2.42,2.371,0.049,False,727.2,Low_Consumption,MDPE,28.0,True,False,2125.507,2.125507
R11568,MET-101,2024-09-10 02:00:00,4.26,811.0,2.97,SCMH,C863,No,NORMAL,Contact: [MISC. PHONE REDACTED] for followup,19.4,102.5,1.005,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,815.055,2.985,True,812.106,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,9,2,2024-09-10,PostMonsoon,Zone_B,2,3,1,2024-09-10 02:00:00,-0.040000000000000036,-296.94500000000005,False,0,0,0.0,False,29.3559,False,True,False,True,False,True,1,1.0,,Pressure Drop,2.985,2.843,0.142,False,776.23,Low_Consumption,MDPE,289.0,True,False,1557.918,1.557918
R13902,MET-101,2024-09-14 00:00:00,5.32,933.0,3.64,SCMH,C863,No,MAINTENANCE,Maintenance done by technician ID [TECH-ID REDACTED].,19.8,101.325,1.0,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,933.0,3.64,False,917.713,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,9,0,2024-09-14,PostMonsoon,Zone_B,2,3,1,2024-09-14 00:00:00,1.0600000000000005,117.94500000000005,False,0,0,0.0,False,33.6039,False,False,True,True,False,True,1,1.0,,Scheduled Maintenance,3.64,3.569,0.071,False,970.53,Low_Consumption,MDPE,94.0,True,True,1783.359,1.783359
R13472,MET-101,2024-09-21 09:00:00,6.89,944.0,3.58,SCMH,C863,No,NORMAL,Reverse flow detected briefly.,20.1,103.0,1.01,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,953.44,3.616,True,952.346,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,9,9,2024-09-21,PostMonsoon,Zone_B,2,3,1,2024-09-21 09:00:00,1.5699999999999994,20.440000000000055,False,0,0,0.0,False,34.3401,False,True,False,False,False,False,0,1.0,OUTAGE_END,Unknown,3.616,3.466,0.15,False,994.48,Low_Consumption,MDPE,177.0,True,False,1822.429,1.822429
R12109,MET-101,2024-10-10 00:00:00,3.89,494.0,1.93,SCMH,C863,No,SHUTDOWN,Customer called at [MISC. PHONE REDACTED],17.7,100.0,0.998,v1.2,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,493.012,1.926,False,482.048,False,False,False,False,True,500,False,True,Forward,False,DMA-A,True,False,10,0,2024-10-10,PostMonsoon,Zone_B,2,3,1,2024-10-10 00:00:00,-2.9999999999999996,-460.42800000000005,True,0,0,0.5,True,17.7568,False,False,True,True,False,True,1,0.0,OUTAGE_START,Scheduled Maintenance,1.926,1.836,0.09,False,525.87,Low_Consumption,MDPE,447.0,True,True,942.353,0.942353
R9149,MET-101,2024-10-20 06:05:00,3.43,1200.0,5.83,SCMH,C863,Unknown,SHUTDOWN,Odorant alarm triggered. Cleared.,16.0,99.5,1.0,v1.2,12.9998,80.2055,False,False,industrial,2024-01-01,False,300,True,False,False,Forward,1200.0,5.83,False,1174.311,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,10,6,2024-10-20,PostMonsoon,Zone_B,2,3,1,2024-10-20 06:00:00,-0.45999999999999996,706.988,True,0,0,0.5,True,43.2205,False,False,True,False,False,False,1,1.0,,Scheduled Maintenance,5.83,5.815,0.015,False,1545.11,Low_Consumption,MDPE,246.08333333333334,True,True,2293.712,2.293712
R9839,MET-101,2024-10-22 10:55:00,6.23,733.0,2.64,SCMH,C863,No,MAINTENANCE,Read manually. Meter OK.,22.6,101.325,1.002,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,-300,True,False,False,Forward,734.466,2.645,False,715.592,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,10,10,2024-10-22,PostMonsoon,Zone_B,2,3,1,2024-10-22 10:00:00,2.8000000000000003,-465.534,False,0,0,0.0,False,26.4533,False,False,True,False,False,False,1,1.0,,Scheduled Maintenance,2.645,2.64,0.005,False,739.61,Low_Consumption,MDPE,52.833333333333336,True,True,1403.877,1.403877
R11787,MET-101,2024-10-23 07:01:00,2.9,1119.0,4.2,SCMH,C863,Unknown,NORMAL,Night flow anomaly recorded.,18.2,101.325,1.002,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,60,True,False,False,Forward,1121.238,4.208,True,1108.923,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,10,7,2024-10-23,PostMonsoon,Zone_B,2,3,1,2024-10-23 07:00:00,-3.3300000000000005,386.77200000000005,True,0,0,0.5,True,40.3837,False,True,False,False,False,False,1,1.0,,Pressure Drop,4.208,4.168,0.04,False,1111.76,Low_Consumption,MDPE,20.1,True,False,2143.163,2.143163
R11076,MET-101,2024-11-11 07:00:00,3.59,718.0,2.68,SCMH,C863,Yes,MAINTENANCE,"Leak near coords 13.0407,80.0914. Reported.",15.2,100.0,1.005,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,721.59,2.693,False,711.66,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,11,7,2024-11-11,PostMonsoon,Zone_B,2,3,1,2024-11-11 07:00:00,0.69,-399.648,False,1,0,0.2,False,25.9895,False,False,True,False,False,False,1,1.0,,Leak Shutdown,2.693,2.599,0.094,False,737.14,Low_Consumption,MDPE,455.98333333333335,True,True,1379.263,1.379263
R14535,MET-101,2024-11-14 16:00:00,3.97,1439.0,5.08,SCMH,C863,No,NORMAL,"Leak near coords 12.9511,80.216. Reported.",19.6,101.325,1.0,v1.0,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1439.0,5.08,True,1416.389,False,False,False,False,True,500,True,False,Forward,False,DMA-A,False,False,11,16,2024-11-14,PostMonsoon,Zone_B,2,3,1,2024-11-14 16:00:00,0.38000000000000034,717.41,False,0,0,0.0,False,51.8285,False,True,False,False,False,False,1,1.0,,Pressure Drop,5.08,4.851,0.229,False,1331.73,Low_Consumption,MDPE,81.0,True,False,2750.538,2.750538
R11854,MET-101,2024-11-16 02:00:00,4.81,1236.0,4.358,SCMH,C863,No,NORMAL,"Leak near coords 13.0407,80.0914. Reported.",15.9,101.325,1.002,v1.1,12.9998,80.2055,False,False,industrial,2024-01-01,False,0,True,False,False,Forward,1238.472,4.367,True,1234.616,False,False,False,False,True,500,True,False,Forward,False,DMA-A,True,False,11,2,2024-11-16,PostMonsoon,Zone_B,2,3,1,2024-11-16 02:00:00,0.8399999999999994,-200.52800000000002,False,0,0,0.0,False,44.6061,False,True,False,True,False,True,1,1.0,,Pressure Drop,4.367,4.298,0.069,False,1175.63,Low_Consumption,MDPE,34.0,True,False,2367.246,2.367246
