Reading_ID,Meter_ID,TS,Pressure,Flow,Energy,Unit,Customer_ID,Leak_Flag,Maintenance_Flag,Notes_Comments,Base_Temp_C,Base_Pressure_kPa,Cal_Coefficient,Cal_Version,Latitude,Longitude
R14715,MET-154,2024-01-05 15:00:00,3.39,836.0,3.13,SCMH,C767,YEs,,High consumption flagged for audit.,24.8,101.0,0.99,v1.0,13.2079,80.3732
R10224,MET-145,2024-01-05 21:00:00,5.06,404.0,1.52,SCMH,C895,0,,Customer called at +91-9824537-24537,24.2,101.0,1.0,v1.0,12.9535,80.413
R10691,MET-142,2024-01-05 22:00:00,2.87,4056.0,-14.91,SCMH,C771,0,,Customer called at +91-9839598-39598,22.1,101.325,1.01,v1.2,80.3046,13.0481
R9817,MET-106,2024-01-06 05:00:00,4.45,1454.0,5.25,SCMH,C762,Yes,MAINT,Customer called at +91-9855663-55663,20.1,101.0,0.995,v1.0,12.9124,80.2671
R9914,MET-138,2024-01-06 11:00:00,2.98,2003.0,7.03,SCMH,C740,false,,Maintenance done by technician ID T587.,18.4,99.5,0.99,v1.0,12.8891,80.221
R13480,MET-106,2024-01-06 13:00:00,4.07,-245.0,0.9,SCMH,C762,TRUE,,High consumption flagged for audit.,14.4,101.325,1.0,v1.0,12.9124,80.2671
R13865,MET-154,2024-01-06 19:00:00,5.14,613.0,2.2,SCMH,C767,0,,Read manually. Meter OK.,20.8,101.325,1.01,v1.2,13.2079,80.3732
R13477,MET-152,2024-01-06 21:00:00,3.51,382.0,1.38,SCMH,C788,no,,Read manually. Meter OK.,24.9,101.325,0.99,v1.1,13.1601,80.1145
R11405,MET-153,2024-01-07 05:00:00,6.59,2756.0,9.94,SCMH,C854,FALSE,,Pressure drop observed at peak hours.,20.9,101.325,0.998,v1.0,13.2258,80.4219
R11905,MET-128,2024-01-07 08:00:00,6.77,1996.0,7.32,SCMH,C866,NO,,Pressure drop observed at peak hours.,24.1,101.325,0.998,v1.0,13.0557,80.305
R12165,MET-113,2024-01-07 12:00:00,6.52,414.0,1.59,SCMH,C839,NO,,Reverse flow detected briefly.,16.3,101.325,0.995,v1.2,13.183,80.0522
R12149,MET-149,2024-01-07 16:00:00,5.9,5101.0,15.04,SCMH,C797,1,,Customer called at +91-9899076-99076,14.9,103.0,0.995,v1.2,13.0687,80.1415
R10013,MET-113,2024-01-07 16:00:00,50.9,1975.0,6.97,SCMH,C839,FALSE,,Odorant alarm triggered. Cleared.,25.1,101.325,1.0,v1.0,13.183,80.0522
R11428,MET-131,2024-01-07 17:00:00,3.36,65.0,0.26,SCMH,C807,No,MAINT,Reverse flow detected briefly.,24.3,101.325,1.002,v1.1,13.093,80.0978
R10478,MET-154,2024-01-07 18:00:00,42.8,308.0,1.21,SCMH,c767,no,,Reverse flow detected briefly.,15.1,101.325,1.002,v1.1,80.3732,13.2079
R11360,MET-113,2024-01-08 00:00:00,6.03,669.0,2.6,SCMH,C839,NO,MAINT,Contact: +91-7027976-27976 for followup,20.0,101.325,1.0,v1.0,13.183,80.0522
R11554,MET-108,2024-01-08 01:00:00,4.85,-350.0,1.34,SCMH,C735,NO,MAINT,Email: user751@citygas.com flagged issue,14.6,101.325,0.998,v1.2,13.1965,80.3709
R11501,MET-101,2024-01-08 10:00:00,6.55,1019.0,3.85,SCMH,C863,0,,Pressure drop observed at peak hours.,14.8,103.0,1.0,v1.1,12.9998,80.2055
R13435,MET-134,2024-01-08 16:00:00,4.87,2924.0,10.62,SCMH,C850,true,,Read manually. Meter OK.,25.8,103.0,1.0,v1.1,13.2296,80.2745
R15161,MET-139,2024-01-08 17:00:00,4.62,712.0,2.69,SCMH,C878,0,,Contact: +91-7087970-87970 for followup,17.9,99.5,0.998,v1.0,13.1237,80.0602
R13549,MET-137,2024-01-08 17:00:00,6.21,1662.0,5.89,SCMH,C894,NO,SHUTDOWN,Contact: +91-7082917-82917 for followup,24.2,101.325,1.0,v1.0,12.9718,80.2591
R9315,MET-152,2024-01-08 20:00:00,,1060.0,3.83,SCMH,C788,FALSE,,Pressure drop observed at peak hours.,16.7,101.325,1.0,v1.1,13.16,80.11
R13891,MET-125,2024-01-09 01:00:00,4.67,2495.0,8.91,SCMH,C843,false,MAINT,Maintenance done by technician ID T969.,19.2,101.0,1.0,v1.2,13.0324,80.1744
R12925,MET-105,2024-01-09 13:00:00,3.99,1220.0,4.66,SCMH,c770,No,,Pressure drop observed at peak hours.,14.2,101.325,1.01,v1.1,12.9124,80.1624
R9749,MET-119,2024-01-09 16:00:00,5.31,848.0,2.97,SCMH,C723,false,SHUTDOWN,Pressure drop observed at peak hours.,17.8,101.325,1.0,v1.0,13.0228,80.1934
R10101,MET-109,2024-01-09 20:00:00,3.77,1439.0,5.27,SCMH,C888,FALSE,,Customer called at +91-9816851-16851,18.5,101.325,1.0,v1.1,23.4641,80.0798
R9038,MET-124,2024-01-09 23:00:00,3.86,1500.0,5.65,SCMH,C706,N,,Email: user182@citygas.com flagged issue,22.1,100.0,1.005,v1.2,12.9965,80.0754
R11401,MET-122,2024-01-10 01:00:00,4.16,,7.16,SCMH,C829,n,SHUTDOWN,Inspection done. No issues.,18.1,99.5,0.99,v1.0,12.9058,
R14257,MET-111,2024-01-10 03:00:00,5.08,,3.15,SCMH,C873,n,MAINT,Customer called at +91-9867012-67012,19.4,103.0,1.0,v1.0,12.8582,80.3589
R13318,MET-128,2024-01-10 15:00:00,4.46,381.0,,SCMH,C866,No,,Inspection done. No issues.,19.9,101.325,0.99,v1.0,13.0557,80.305
R9359,MET-101,2024-01-10 20:00:00,3.31,232.0,0.9,SCMH,C863,0,,,20.4,102.5,1.0,v1.0,12.9998,80.2055
R13364,MET-144,2024-01-10 20:00:00,2.81,1040.0,4.13,SCMH,C755,n,,Odorant alarm triggered. Cleared.,17.5,101.0,1.0,v1.2,13.2137,80.2534
R14460,MET-146,2024-01-10 23:00:00,4.74,1862.0,6.84,SCMH,C786,N,,Customer called at +91-9831150-31150,17.2,99.5,0.995,v1.1,13.115,80.1497
R11144,MET-111,2024-01-11 04:00:00,5.34,999.0,3.81,SCMH,C873,FALSE,,Email: user770@citygas.com flagged issue,22.2,102.5,0.998,v1.0,12.8582,80.3589
R13996,MET-121,2024-01-11 05:00:00,6.55,670.0,2.44,SCMH,C759,false,,Customer called at +91-9892565-92565,18.2,103.0,1.01,v1.2,13.0947,80.3952
R10020,MET-153,2024-01-11 08:00:00,3.5,2388.0,8.37,SCMH,C854,Y,MAINT,Contact: +91-7074248-74248 for followup,24.4,101.0,1.005,v1.2,13.2258,80.4219
R12460,MET-105,2024-01-11 14:00:00,,1190.0,4.27,SCMH,C770,0,,,17.3,103.0,1.0,v1.0,12.9124,80.1624
R10990,MET-148,2024-01-11 18:00:00,4.95,2499.0,9.39,SCMH,C723,0,MAINT,Read manually. Meter OK.,14.1,100.0,0.995,v1.0,13.058,80.3522
R10147,MET-147,2024-01-11 20:00:00,3.31,1482.0,5.25,SCMH,C726,FALSE,,Read manually. Meter OK.,18.7,100.0,1.005,v1.1,12.9747,80.2142
R9668,MET-103,2024-01-11 21:00:00,3.61,2451.0,9.03,SCMH,C706,no,MAINT,High consumption flagged for audit.,21.0,101.325,1.0,v1.0,13.1428,80.3815
R12422,MET-112,2024-01-11 21:00:00,0.0,3276.0,,SCMH,C889,0,SHUTDOWN,Reverse flow detected briefly.,14.6,102.5,1.0,v1.0,13.238,80.1295
R12956,MET-108,2024-01-11 21:00:00,6.44,2642.0,9.988,SCMH,C735,n,,Maintenance done by technician ID T446.,21.9,99.5,1.0,v1.1,13.1965,80.3709
R12816,MET-128,2024-01-11 22:00:00,2.93,1087.0,3.99,SCMH,C866,N,,Odorant alarm triggered. Cleared.,18.4,101.325,1.0,v1.0,80.305,13.0557
R11034,MET-110,2024-01-12 01:00:00,4.16,,2.54,SCMH,C726,n,,Reverse flow detected briefly.,16.4,99.5,1.0,v1.2,21.5032,80.4448
R14785,MET-130,2024-01-12 01:00:00,5.13,639.0,2.33,SCMH,C839 ,N,,Calibration check passed.,15.4,99.5,0.995,v1.1,12.8686,80.2389
R10537,MET-153,2024-01-12 04:00:00,2.73,1664.0,6.05,SCMH,C854,nO,,Customer C853 complained about billing.,22.6,101.325,1.0,v1.1,13.2258,80.4219
R14755,MET-138,2024-01-12 06:00:00,5.98,749.0,2.78,SCMH,C740 ,false,,"Leak near coords 12.944,80.1153. Reported.",21.7,99.5,0.99,v1.0,12.8891,80.221
R9204,MET-112,2024-01-12 13:00:00,3.51,2552.0,9.86,SCMH,C889,0,SHUTDOWN,Read manually. Meter OK.,25.2,101.325,1.0,v1.1,13.238,80.1295
R13862,MET-128,2024-01-12 15:00:00,4.37,1620.0,6.25,SCMH,C866,0,,,21.8,101.325,1.005,v1.1,13.0557,80.305
R13034,MET-156,2024-01-12 15:00:00,-3.66,1327.0,5.14,SCMH,C886,n,,Email: user833@citygas.com flagged issue,25.1,100.0,1.0,v1.0,13.2187,80.3986
R10267,MET-108,2024-01-12 17:00:00,5.1,1543.0,5.95,SCMH,c735,NO,,Email: user781@citygas.com flagged issue,17.5,101.325,1.0,v1.1,13.1965,80.3709
R10303,MET-123,2024-01-12 18:00:00,5.9,1142.0,4.09,SCMH,C854,false,,Inspection done. No issues.,16.0,101.325,0.99,v1.2,12.9669,80.1824
R10509,MET-104,2024-01-12 18:00:00,4.49,219.0,0.78,SCMH,C889,YES,SHUTDOWN,High consumption flagged for audit.,24.0,101.325,1.0,v1.0,13.0895,80.1927
R12368,MET-131,2024-01-12 22:00:00,4.79,101.0,0.39,SCMH,C807,YES,,Pressure drop observed at peak hours.,16.1,101.0,1.005,v1.0,13.093,
R9561,MET-145,2024-01-13 02:00:00,6.46,1669.0,6.27,SCMH,C895,n,MAINT,Calibration check passed.,23.5,101.325,0.99,v1.1,12.9535,80.413
R10242,MET-125,2024-01-13 03:00:00,4.94,2809.0,10.24,SCMH,c843,No,,Customer called at +91-9837487-37487,17.6,101.0,1.01,v1.0,13.0324,80.1744
R15052,MET-140,2024-01-13 06:00:00,5.3,2385.0,8.49,SCMH,C808,no,SHUTDOWN,Maintenance done by technician ID T557.,21.9,101.325,0.99,v1.1,13.0261,80.0932
R13002,MET-127,2024-01-13 09:00:00,6.09,351.0,1.3,SCMH,C883,n,MAINT,Read manually. Meter OK.,23.1,101.325,1.002,v1.0,80.3418,12.9299
R13678,MET-159,2024-01-13 09:00:00,4.45,1294.0,4.89,SCMH,C731,nO,,Inspection done. No issues.,14.1,101.325,1.01,v1.1,12.8681,80.407
R13821,MET-122,2024-01-13 10:00:00,2.71,1332.0,4.79,SCMH,C829,no,MAINT,Odorant alarm triggered. Cleared.,20.0,101.0,0.99,v1.0,12.9058,80.2993
R11261,MET-135,2024-01-13 14:00:00,6.87,2280.0,8.19,SCMH,C771,No,,Calibration check passed.,17.2,99.5,0.998,v1.0,24.9233,80.3584
R13231,MET-102,2024-01-13 16:00:00,3.33,961.0,3.68,SCMH,C728,true,,Calibration check passed.,22.0,101.325,1.005,v1.0,13.2303,80.1585
R13069,MET-118,2024-01-13 18:00:00,3.96,2269.0,8.33,SCMH,c707,No,,Odorant alarm triggered. Cleared.,16.3,100.0,1.0,v1.0,13.0599,80.0796
R10263,MET-124,2024-01-13 20:00:00,5.33,207.0,0.74,SCMH,C706,no,,Read manually. Meter OK.,19.8,101.0,1.0,v1.1,12.9965,80.0754
R9684,MET-131,2024-01-14 09:00:00,3.93,417.0,-1.49,SCMH,C807,Y,,Night flow anomaly recorded.,16.4,100.0,0.99,v1.0,23.6384,80.0978
R12274,MET-151,2024-01-14 20:00:00,4.38,435.0,1.67,SCMH,c791,False,SHUTDOWN,Calibration check passed.,23.2,101.325,0.99,v1.0,13.2378,80.1659
R13626,MET-114,2024-01-15 00:00:00,2.73,1640.0,5.74,SCMH,C722,0,,"Leak near coords 13.2257,80.3397. Reported.",25.8,103.0,1.01,v1.0,12.9349,80.3762
R12451,MET-140,2024-01-15 08:00:00,4.04,2071.0,7.58,SCMH,c808,false,,Maintenance done by technician ID T807.,24.0,101.325,0.99,v1.1,13.0261,80.0932
R10663,MET-137,2024-01-15 10:00:00,6.96,,5.39,SCMH,C894,n,,Email: user678@citygas.com flagged issue,25.3,101.325,0.998,v1.0,22.6359,80.2591
R14708,MET-133,2024-01-15 11:00:00,3.66,1573.0,5.7,SCMH,C814,no,MAINT,Email: user828@citygas.com flagged issue,22.5,101.325,0.998,v1.2,12.876,80.3543
R9950,MET-101,2024-01-15 13:00:00,6.6,477.0,1.87,SCMH,C863,N,,Reverse flow detected briefly.,14.9,100.0,1.0,v1.0,12.9998,80.2055
R11064,MET-131,2024-01-15 16:00:00,3.44,312.0,1.246,SCMH,C807 ,0,,Email: user151@citygas.com flagged issue,14.4,100.0,1.01,v1.0,13.093,80.0978
R9342,MET-135,2024-01-15 17:00:00,4.61,,8.52,SCMH,C771,False,,Reverse flow detected briefly.,16.4,103.0,1.0,v1.0,13.2363,80.3584
R13690,MET-139,2024-01-16 05:00:00,6.41,627.0,2.4,SCMH,C878,N,,Reverse flow detected briefly.,23.5,101.325,1.0,v1.0,13.1237,80.0602
R13352,MET-126,2024-01-16 05:00:00,5.33,3502.0,13.38,SCMH,C750,true,,,20.5,102.5,1.0,v1.1,13.1641,
R13646,MET-159,2024-01-16 05:00:00,6.47,4252.0,16.23,SCMH,C731 ,N,,Night flow anomaly recorded.,16.7,101.325,1.0,v1.1,12.8681,80.407
R13432,MET-118,2024-01-16 09:00:00,3.83,2074.0,,SCMH,C707,yes,,Inspection done. No issues.,15.6,101.325,1.01,v1.1,13.0599,80.0796
R12074,MET-132,2024-01-16 10:00:00,2.51,400.0,1.53,SCMH,c756,false,,Night flow anomaly recorded.,14.5,100.0,1.0,v1.2,12.9182,80.3353
R12788,MET-133,2024-01-16 22:00:00,4.48,626.0,2.27,SCMH,C814,FALSE,,Calibration check passed.,20.6,101.325,1.005,v1.0,12.876,80.3543
R11613,MET-102,2024-01-16 22:00:00,2.62,2313.0,8.43,SCMH,C728,false,MAINT,Reverse flow detected briefly.,23.3,101.0,1.002,v1.1,13.2303,80.1585
R13655,MET-133,2024-01-17 00:00:00,5.4,1600.0,6.19,SCMH,c814,n,,Reverse flow detected briefly.,15.4,99.5,1.0,v1.0,12.876,80.3543
R13790,MET-143,2024-01-17 02:00:00,3.28,371.0,1.44,SCMH,C739,n,,Calibration check passed.,24.5,101.325,1.005,v1.2,12.8638,80.1757
R13086,MET-132,2024-01-17 03:00:00,5.55,596.0,2.17,SCMH,C756 ,No,,Inspection done. No issues.,14.0,101.325,1.002,v1.1,12.9182,80.3353
R14979,MET-112,2024-01-17 04:00:00,5.23,1240.0,4.47,SCMH,C889,NO,,Customer called at +91-9861279-61279,18.7,101.0,0.998,v1.0,80.1295,13.238
R11171,MET-119,2024-01-17 06:00:00,4.12,,1.6,SCMH,C723,No,,Email: user228@citygas.com flagged issue,19.2,101.325,0.995,v1.0,13.0228,80.1934
R13782,MET-102,2024-01-17 10:00:00,3.73,937.0,3.42,SCMH,C728,NO,MAINT,Calibration check passed.,20.4,99.5,0.99,v1.2,13.2303,
R10366,MET-125,2024-01-17 11:00:00,3.56,3395.0,12.02,SCMH,C843,NO,,Customer called at +91-9823689-23689,20.4,101.325,1.0,v1.1,13.0324,80.1744
R12858,MET-119,2024-01-18 08:00:00,4.56,1884.0,7.19,SCMH,C723,False,,Pressure drop observed at peak hours.,15.3,102.5,1.0,v1.1,13.0228,80.1934
R15026,MET-101,2024-01-18 08:00:00,,1090.0,4.26,SCMH,C863,False,,Night flow anomaly recorded.,24.8,101.325,1.01,v1.0,12.9998,80.2055
R14960,MET-123,2024-01-18 11:00:00,59.9,1141.0,4.28,SCMH,C854,N,,Pressure drop observed at peak hours.,24.3,102.5,1.01,v1.0,12.9669,80.1824
R12873,MET-151,2024-01-18 13:00:00,3.81,1104.0,4.31,SCMH,C791,N,,Maintenance done by technician ID T961.,25.0,100.0,1.002,v1.1,13.2378,80.1659
R10569,MET-114,2024-01-18 16:00:00,4.75,3539.0,14.18,SCMH,c722,NO,,Inspection done. No issues.,15.9,102.5,1.002,v1.1,12.9349,80.3762
R12993,MET-149,2024-01-18 20:00:00,6.31,-2695.0,10.5,SCMH,C797,no,,"Leak near coords 13.06,80.2606. Reported.",22.6,101.0,0.998,v1.0,13.0687,80.1415
R10418,MET-122,2024-01-18 22:00:00,6.77,1888.0,6.75,SCMH,C829,No,,Odorant alarm triggered. Cleared.,14.8,100.0,1.0,v1.0,12.9058,80.2993
R11739,MET-128,2024-01-19 02:00:00,2.51,745.0,2.87,SCMH,C866,NO,,Read manually. Meter OK.,25.3,101.325,0.995,v1.0,13.0557,80.305
R13664,MET-146,2024-01-19 04:00:00,4.17,1771.0,6.34,SCMH,C786,False,,"Leak near coords 12.9386,80.0922. Reported.",16.1,101.325,1.01,v1.0,13.115,80.1497
R10601,MET-103,2024-01-19 09:00:00,6.38,200.0,0.72,SCMH,C706,YEs,,"Leak near coords 12.8527,80.3374. Reported.",24.9,101.0,1.01,v1.2,23.5428,80.3815
R10054,MET-129,2024-01-19 14:00:00,6.69,1169.0,4.35,SCMH,C879 ,false,SHUTDOWN,Customer called at +91-9879245-79245,20.2,101.325,1.0,v1.1,13.087,80.4049
R10785,MET-119,2024-01-19 15:00:00,35.6,437.0,1.62,SCMH,C723,False,,Night flow anomaly recorded.,16.3,99.5,1.002,v1.1,13.0228,80.1934
R12358,MET-119,2024-01-19 19:00:00,3.89,2260.0,4.04,SCMH,C723,no,MAINT,Calibration check passed.,22.6,102.5,1.0,v1.1,13.0228,80.1934
R14085,MET-101,2024-01-20 02:00:00,6.66,301.0,1.2,SCMH,C863,False,SHUTDOWN,Maintenance done by technician ID T735.,20.6,101.325,0.998,v1.0,12.9998,80.2055
R13077,MET-134,2024-01-20 08:00:00,,637.0,2.24,SCMH,C850,False,,Email: user834@citygas.com flagged issue,24.3,99.5,0.995,v1.2,80.2745,13.2296
R12006,MET-134,2024-01-20 09:00:00,4.24,-1869.0,6.67,SCMH,C850,n,,"Leak near coords 13.184,80.0926. Reported.",15.0,102.5,1.0,v1.1,13.2296,80.2745
R11920,MET-117,2024-01-20 11:00:00,6.5,529.0,2.01,SCMH,C708,False,,Odorant alarm triggered. Cleared.,24.9,101.325,0.995,v1.0,12.9717,80.3585
R14901,MET-122,2024-01-20 12:00:00,36.7,1411.0,5.66,SCMH,C829,False,,Night flow anomaly recorded.,17.2,101.325,1.0,v1.0,12.9058,80.2993
R13924,MET-141,2024-01-20 13:00:00,3.11,880.0,3.48,SCMH,C787,N,,Night flow anomaly recorded.,23.9,103.0,1.01,v1.0,12.8988,80.0626
R13737,MET-106,2024-01-20 14:00:00,3.64,1481.0,5.87,SCMH,C762,false,MAINT,Calibration check passed.,19.3,102.5,1.0,v1.1,12.9124,80.2671
R13864,MET-143,2024-01-20 15:00:00,6.66,,4.55,SCMH,C739,False,,Night flow anomaly recorded.,21.3,99.5,0.99,v1.0,12.8638,80.1757
R11505,MET-107,2024-01-20 21:00:00,6.37,1155.0,4.05,SCMH,C757,N,,Reverse flow detected briefly.,20.0,101.0,1.002,v1.0,12.8732,80.1064
R10023,MET-129,2024-01-21 00:00:00,2.8,1131.0,4.04,SCMH,C879 ,NO,MAINT,Night flow anomaly recorded.,20.1,100.0,1.01,v1.1,80.4049,13.087
R14745,MET-121,2024-01-21 03:00:00,3.9,239.0,,SCMH,C759,NO,,Pressure drop observed at peak hours.,14.6,101.325,1.0,v1.0,13.0947,80.3952
R11406,MET-139,2024-01-21 05:00:00,4.04,669.0,2.35,SCMH,C878,n,,Email: user736@citygas.com flagged issue,21.0,101.325,1.0,v1.0,13.1237,80.0602
R14710,MET-149,2024-01-21 07:00:00,3.82,3193.0,12.43,SCMH,C797,nO,MAINT,Calibration check passed.,23.1,101.325,1.01,v1.1,21.8719,80.1415
R9501,MET-112,2024-01-21 11:00:00,4.31,-2640.0,9.22,SCMH,C889,no,MAINT,Pressure drop observed at peak hours.,23.6,100.0,1.0,v1.0,13.238,80.1295
R12118,MET-120,2024-01-21 15:00:00,4.87,1309.0,4.87,SCMH,C755,TRUE,,Maintenance done by technician ID T690.,17.5,101.325,1.0,v1.0,12.9665,80.0963
R10931,MET-108,2024-01-21 18:00:00,6.12,384.0,1.4,SCMH,C735,NO,,Read manually. Meter OK.,17.7,101.325,1.0,v1.1,13.1965,80.3709
R11450,MET-157,2024-01-21 19:00:00,2.57,2163.0,6.93,SCMH,C817,n,MAINT,Read manually. Meter OK.,23.5,99.5,0.998,v1.2,12.8854,80.3715
R9328,MET-108,2024-01-21 19:00:00,6.81,2342.0,8.8,SCMH,C735,False,,"Leak near coords 13.0231,80.296. Reported.",21.8,100.0,1.0,v1.0,13.1965,80.3709
R13810,MET-154,2024-01-21 21:00:00,5.4,1378.0,4.91,SCMH,C767,false,MAINT,Customer C751 complained about billing.,22.0,103.0,1.0,v1.1,13.2079,80.3732
R10246,MET-118,2024-01-22 00:00:00,6.15,2943.0,11.45,SCMH,C707,n,,Pressure drop observed at peak hours.,14.2,101.325,1.0,v1.2,13.0599,80.0796
R11472,MET-155,2024-01-22 03:00:00,4.89,777.0,2.88,SCMH,C711,False,MAINT,Maintenance done by technician ID T235.,23.8,101.325,1.01,v1.0,13.0892,80.3034
